Universal-CoMBI,Manufacture,Product Code,Required,Vender,Vender code,Price/Package,Parts/Package,Price/part,Price/required,,,メモ
Controller,,,,,,,,,,,,
PCB board,P-ban.com,,1,P-ban.com,Custum,34672,10,3467.2,3467.2,,,
Screw M3x10,Neji-no-Takayama,,4,Marutsu,M3X10ﾎﾟﾘﾋﾞｽ*20,260,20,13,52,,,
Nut M3,Neji-no-Takayama,,4,Marutsu,M3ﾎﾟﾘﾅｯﾄ*20,320,20,16,64,,,
DURACON spacer 3mm,Hirosugi,,4,Marutsu,C-303*2,36,2,18,72,,,
Rubber feet 10x5mm,Shenzhen Fushiyuan Rubber & Plastic Factory,,2,Akizuki,P-10093　,490,50,9.8,19.6,,,
"Toggle SW, Alt",Miyama,MS500AB,2,Marutsu,MS500AB,200,1,200,400,,,
"Toggle SW, 6 pin",NKK,M-2020,1,Marutsu,M-2020,416,1,416,416,,,
"Toggle SW, Temp",Miyama,MS500BB,2,Marutsu,MS500BB,240,1,240,480,,,
"Jack, DC, panel",Marushin,MJ21,2,Akizuki,C-06569,120,1,120,240,,,
Locker SW,Nidec,SLE210K,1,Marutsu,SLE210K,264,1,264,264,,,
"Jack 2.5mm-3pin, panel",Marushin,MJ-070N,1,Sengoku,MJ-070N,105,1,105,105,,,
"Jack 3.5mm-3pin, panel",Marushin,MJ074N,1,Akizuki,C-09630,65,1,65,65,,,千石 105円、 
DC-DC converter 9V,RECOM,R-78E9.0-0.5,1,Marutsu,R-78E9.0-0.5,444,1,444,444,,,
DC-DC converter 5V,RECOM,R-78E5.0-0.5,1,Akizuki,R-78E5.0-0.5,320,1,320,320,,,チップ 310円、マルツ 414円、
Capacitor 0.1µF50V,Murata,RDER71H104K0K1H03B,1,Marutsu,RDER71H104K0K1H03B,33,1,33,33,,,
Capacitor 10µF25V,Murata,RDEC71E106K2K1C03B,3,Akizuki,P-05103,30,1,30,90,,,
LED Lemon,Optosupply,OSCL4L5111A,1,Akizuki,I-07523,150,5,30,30,,,
LED Aqua,Optosupply,OSC44L5111A,1,Akizuki,I-07514,150,5,30,30,,,
LED Green,Optosupply,OSG58A5111A,1,Akizuki,I-06405,200,10,20,20,,,
LED Lavender,Optosupply,OSCD4L5111A,1,Akizuki,I-07520,150,5,30,30,,,
"LED cap, 5 mm",Optosupply,OS-CAP-5MK-1,4,Akizuki,I-01120,200,50,4,16,,,
"IC socket 2 pin, round",Neltron Industrial,,4,Akizuki,P-00673,15,1,15,60,,,
DURACON spacer M3 x 25mm,Hirosugi,AS-325B,4,Sengoku,AS-325B,53,1,53,212,,,
"XH connector, header 2pin",JST,B2B-XH-A,5,Akizuki,C-12247,10,1,10,50,,,
"XH connector, housing 2 pin　",JST,XHP-2,5,Akizuki,C-12255,5,1,5,25,,,
"XH connector, header 3pin",JST,B3B-XH-A,4,Akizuki,C-12248,10,1,10,40,,,
"XH connector, housing 3 pin",JST,XHP-3,4,Akizuki,C-12256,5,1,5,20,,,
"XH connector, contact",JST,XH-001T-P0.6,22,Akizuki,C-12265,200,100,2,44,,,
Optocouplar,Toshiba,TLP785(GB F),2,Akizuki,I-07554,20,1,20,40,,,
Atmega328P,Microchip Technology,,1,Akizuki,I-03142,280,1,280,280,,,
IC socket 2x2,Shenzhen Jinling Electronics,,2,Akizuki,P-14240,15,1,15,30,,,
IC soket 2x14,Neltron Industrial,,1,Akizuki,P-01339,70,1,70,70,,,
Neoginium magnet ,(No brand),ø15×3mm,2,Sengoku,ø15×3mm,252,1,252,504,,,
"Wire, AWG28 1007",Kyowa,,0.05,Sengoku,UL1429 AWG28 10m (BK),340,1,340,17,,,
"Wire, AWG28 1007",Kyowa,,0.05,Sengoku,UL1429 AWG28 10m (RD),340,1,340,17,,,
"Wire, AWG28 1007",Kyowa,,0.05,Sengoku,UL1429 AWG28 10m (BL),340,1,340,17,,,
"Wire, AWG28 1007",Kyowa,,0.05,Sengoku,UL1429 AWG28 10m (WT),340,1,340,17,,,
"Wire, AWG28 1007",Kyowa,,0.05,Sengoku,UL1429 AWG28 10m (YL),340,1,340,17,,,
Heat shrinkable tube,Sumitomo Electric Fine Polymer,SUMITUBE-C-1.5x0.2x1m-CLR,0.1,Akizuki,P-08635,40,1,40,4,,,
Resistor,GB,10k ohm,1,Marutsu,GB-MFR-1/4W-1002*100,301,100,3.01,3.01,,,
Resistor,GB,220 ohm,2,Marutsu,GB-MFR-1/4W-2200*100,301,100,3.01,6.02,,,
Resistor,GB,510 ohm,1,Marutsu,GB-MFR-1/4W-5100*100,301,100,3.01,3.01,,,
Resistor,GB,120 ohm,3,Marutsu,GB-MFR-1/4W-1200*100,301,100,3.01,9.03,,,
DIP switch 2P,Excel Cell Electronic,EDS102SZ,1,Akizuki,P-03141,50,1,50,50,8192.87,,
,,,,,,,,,,,,
Sensor,,,,,,,,,,,,
Hall sensor,Texas Instruments,DRV5032FALPG,1,Marutsu-DIgiKey,,180,1,180,180,,,
screw M3x10,Neji-no-Takayama,,4,Marutsu,M3X10ﾎﾟﾘﾋﾞｽ*20,260,20,13,52,,,
nut M3,Neji-no-Takayama,,4,Marutsu,M3ﾎﾟﾘﾅｯﾄ*20,320,20,16,64,,,
Capacitor 0.1µF250V,Murata,RDER71H104K0P1H03B,1,Akizuki,P-13582,100,10,10,10,,,
"Audio cable 3.5 mm, 3-pin",Amazon Basics,,0.5,Amazon,Stereo mini plug audio cable 2.4m,627,1,627,313.5,,,
Neoginium magnet ,(No brand),ø10×3mm,2,Sengoku,ø10×3mm,200,1,200,400,1019.5,,
,,,,,,,,,,,,
LED lamp,,,,,,,,,,,,
LED lamp,Optosupply,OSLA03X3W00,2,Akizuki,M-04459,450,1,450,900,,,
"DC branch cable, ø2.1mm",Shanghai Self-Man Electronics Industry,,1,Akizuki,C-06723,150,1,150,150,,,
DC plug,Marushin,MP-121C,2,Akizuki,C-02108,60,1,60,120,,,
DC jack,Marushin,MJ-077N,2,Akizuki,C-06343,75,1,75,150,,,
PVC-covered parallel cable,(No brand),,0.1,Marutsu,AVRB0.2SQｱｶｸﾛ*10,299,1,299,29.9,1349.9,,
,,,,,,,,,,,,
Acrylic plate,,,,,,,,,,,,
Acrylic plate,,450 x 300 x 2 mm,1,Cainz Home,,598,1,598,598,598,,
,,,,,,,,,,,,
Release Cable,,,,,,,,,,,,
Kiwifoto,Kiwifoto,,1,Amazon,Amazon,1200,1,1200,1200,1200,,
,,,,,,,,,,,,
,,,,,,,,,Amount,12360.27,,